,COLUMNA,NOMBRE TABLA,REGISTROS TOTALES,CANTIDAD DE INCOMPLETOS,CANTIDAD DE COMPLETOS,PORCENTAJE COMPLETITUD,EXACTO,INEXACTO,PORCENTAJE DE EXACTITUD
0,insert_into_dl_timestamp,iel_cfp,24245,0,24245,100.0,24245,0,100.0
1,nivel_estudios,iel_cfp,24245,0,24245,100.0,24245,0,100.0
2,profesion,iel_cfp,24245,0,24245,100.0,8787,15458,36.24
3,localidadprovincia,iel_cfp,24245,18330,5915,24.4,5859,56,99.05
4,provincia,iel_cfp,24245,0,24245,100.0,24245,0,100.0
5,direccion_estudiante,iel_cfp,24245,207,24038,99.15,24038,0,100.0
6,fecha_nacimiento,iel_cfp,24245,0,24245,100.0,24245,0,100.0
7,sexo,iel_cfp,24245,0,24245,100.0,24245,0,100.0
8,nacionalidad,iel_cfp,24245,0,24245,100.0,24244,1,100.0
9,telefono,iel_cfp,24245,3410,20835,85.94,20776,59,99.72
10,email,iel_cfp,24245,0,24245,100.0,24239,6,99.98
11,nrodocumento,iel_cfp,24245,5,24240,99.98,24134,106,99.56
12,tipo_documento,iel_cfp,24245,0,24245,100.0,24245,0,100.0
13,nombre,iel_cfp,24245,0,24245,100.0,24244,1,100.0
14,apellido,iel_cfp,24245,0,24245,100.0,24245,0,100.0
15,fechacreacion,iel_cfp,24245,0,24245,100.0,24245,0,100.0
16,estado,iel_cfp,24245,0,24245,100.0,24245,0,100.0
17,sorteo,iel_cfp,24245,24245,0,0.0,0,0,0.0
18,motivo,iel_cfp,24245,13209,11036,45.52,11036,0,100.0
19,trabajo_relacionado,iel_cfp,24245,12974,11271,46.49,11271,0,100.0
20,inscripcion,iel_cfp,24245,0,24245,100.0,24245,0,100.0
21,comision,iel_cfp,24245,0,24245,100.0,24245,0,100.0
22,curso,iel_cfp,24245,0,24245,100.0,23519,726,97.01
23,direccion_escuela,iel_cfp,24245,0,24245,100.0,24245,0,100.0
24,sede,iel_cfp,24245,0,24245,100.0,24245,0,100.0
25,nivel,iel_cfp,24245,0,24245,100.0,24245,0,100.0
