,COLUMNA,NOMBRE TABLA,REGISTROS TOTALES,CANTIDAD DE INCOMPLETOS,CANTIDAD DE COMPLETOS,PORCENTAJE COMPLETITUD,EXACTO,INEXACTO,PORCENTAJE DE EXACTITUD
0,insert_into_dl_timestamp,iel_ifts,6256,0,6256,100.0,6256,0,100.0
1,turno,iel_ifts,6256,0,6256,100.0,5363,893,85.73
2,supervisión,iel_ifts,6256,0,6256,100.0,6256,0,100.0
3,establecimiento,iel_ifts,6256,0,6256,100.0,4452,1804,71.16
4,prov_alu,iel_ifts,6256,1,6255,99.98,6255,0,100.0
5,barrio,iel_ifts,6256,4917,1339,21.4,1339,0,100.0
6,partido,iel_ifts,6256,4174,2082,33.28,2082,0,100.0
7,direccion,iel_ifts,6256,89,6167,98.58,6049,118,98.09
8,certificadodiscapacidad,iel_ifts,6256,1,6255,99.98,6255,0,100.0
9,disc_otros,iel_ifts,6256,6097,159,2.54,149,10,93.71
10,discmental,iel_ifts,6256,1,6255,99.98,6255,0,100.0
11,epileptico,iel_ifts,6256,1,6255,99.98,6255,0,100.0
12,discsensorial,iel_ifts,6256,1,6255,99.98,6255,0,100.0
13,discmotora,iel_ifts,6256,1,6255,99.98,6255,0,100.0
14,mail_creacion,iel_ifts,6256,0,6256,100.0,6256,0,100.0
15,email,iel_ifts,6256,1396,4860,77.69,4858,2,99.96
16,telefono,iel_ifts,6256,1395,4861,77.7,4859,2,99.96
17,sistemasalud,iel_ifts,6256,1,6255,99.98,6255,0,100.0
18,pais,iel_ifts,6256,1,6255,99.98,6255,0,100.0
19,nrodocumento,iel_ifts,6256,4,6252,99.94,6244,8,99.87
20,tipodocumento,iel_ifts,6256,1,6255,99.98,6255,0,100.0
21,sexo,iel_ifts,6256,1,6255,99.98,6255,0,100.0
22,apellido,iel_ifts,6256,1,6255,99.98,6255,0,100.0
23,nombre,iel_ifts,6256,1,6255,99.98,6255,0,100.0
24,fechanacimiento,iel_ifts,6256,1,6255,99.98,6255,0,100.0
25,carrera,iel_ifts,6256,0,6256,100.0,6256,0,100.0
26,disciplina,iel_ifts,6256,0,6256,100.0,6256,0,100.0
27,fechacreacion,iel_ifts,6256,0,6256,100.0,6256,0,100.0
28,nivel,iel_ifts,6256,0,6256,100.0,6256,0,100.0
29,estado,iel_ifts,6256,0,6256,100.0,6256,0,100.0
30,id,iel_ifts,6256,0,6256,100.0,6256,0,100.0
31,año,iel_ifts,6256,0,6256,100.0,6256,0,100.0
